iter	Logloss
0	0.689479461611	0.686634500122	0.683354765333	0.680134544844	0.677623685655	0.673744531266	0.6706751939
7	0.6683141855
8	0.6641384253
9	0.6611605761
10	0.6575227112
11	0.6551784378
12	0.6522462325
13	0.6493215818
14	0.6467903976
15	0.6440595791
16	0.6411046464
17	0.6383419113
18	0.6358168556
19	0.6333714866
20	0.6303226545
21	0.628008267
22	0.6254978566
23	0.6227156114
24	0.6199424155
25	0.6173408846
26	0.6151143746
27	0.6129603184
28	0.6112208223
29	0.6088971875
30	0.6065518247
31	0.6042632351
32	0.6016571392
33	0.5994520824
34	0.6030728963535	0.6009470055
36	0.5992019833737	0.597216693338	0.5907065213939	0.5885318465
40	0.5863765958
41	0.5844622079
442	0.587689658443	0.5813892992
44	0.5798105344
45	0.5819631562
46	0.580271301
47	0.578497774
4848	0.57280164349	0.5748635232
50	0.573438777
51	0.5715726371
52	0.5699062837
53	0.5680003658
54	0.5662628047
55	0.5647204534
56	0.5628492382
57	0.561134178
58	0.5600197681
59	0.55821959
60	0.5562724745
61	0.561	0.5504762	0.562	0.5490663	0.563	0.547764	0.5564	0.546465	0.5465	0.544566	0.5466	0.5429667	0.567	0.5412668	0.568	0.5401469	0.569	0.5387293976
70	0.537871	0.5471	0.5369632071
72	0.5355039877
73	0.5342669162
74	0.5329618462
75	0.5318329376
76	0.5302915487
77	0.5289556549
78	0.5273831345
79	0.5263684777
80	0.5249311964
81	0.523382656
82	0.5222483	0.583	0.521265294
84	0.5197542363
85	0.5186298348
86	0.5174459899
87	0.5164513382
88	0.515227687
89	0.5141108437
90	0.5129991	0.91	0.51184792	0.92	0.51074793	0.93	0.5096594	0.5015538814
95	0.5003549578
96	0.4993832884
97	0.4981852802
98	0.4974877571
99	0.4962610906
100	0.4952608127
101	0.4943504339
102	0.4933704617
103	0.4924935708
104	0.491659797
105	0.4905387772
106	0.489388986
1107	0.5006548091108	0.487685021
109	0.4864301328
110	0.4855598871
111	0.4847469875
112	0.4839436751
113	0.4825822475
1114	0.4935463094115	0.4808766427
116	0.4799258645
117	0.4905828488
118	0.4898082271
119	0.477179154
120	0.4764886323
1121	0.487162325
122	0.4862523465
123	0.47370361612124	0.47253795412125	0.47152076126126	0.47061207127127	0.4696818302
128	0.4688197155
129	0.4679251689
130	0.4668379883
131	0.46588406
132	0.4649689393
133	0.4640176354
134	0.4627895398
135	0.4617615393
136	0.4608097254
137	0.460189626
138	0.4593810595
139	0.4585672353
140	0.4577095034
141	0.4568899091
142	0.4560701233
143	0.4550926748
144	0.4543170703
145	0.4534182689
146	0.4526492094
147	0.4519819233
148	0.4511074834
149	0.4504096458
150	0.4497379429
151	0.4490016528
152	0.4481742585
153	0.4471164421
154	0.4463410081
155	0.4456626422
156	0.4447876371
157	0.4440156632
158	0.4433800915
159	0.442598732
160	0.4418139404
161	0.4409168791
162	0.440370399
163	0.4397638594
164	0.4392067446
165	0.4385781297
166	0.4378854352
167	0.4371340658
168	0.4363712719
169	0.4356605007
170	0.4351884748
171	0.43466069
172	0.433803219
173	0.4332094708
174	0.4324536632
175	0.4316024224
176	0.4306832438
177	0.4306527929
178	0.4301929458
179	0.4298054997
180	0.4291780088
181	0.4284076868
182	0.4278339196
183	0.4272888394
184	0.4265380226
185	0.4257061486
186	0.4250533429
187	0.4245485114
188	0.4241490298
189	0.4236234183
190	0.4230546149
191	0.4222371661
192	0.4218442733
193	0.420975729
194	0.42017987
195	0.4193550017
196	0.4187573201
197	0.4181981955
198	0.4175309403
199	0.4168027118
200	0.4161084644
201	0.4154910694
202	0.4150692659
203	0.4143185108
204	0.4137171959
205	0.4132383578
206	0.412653421
207	0.4122487091
208	0.4116550278
209	0.4111635331
210	0.4106571292
211	0.4099651627
212	0.4094600688
213	0.4087811468
214	0.4083854331
215	0.4078786779
216	0.4072707533
217	0.4068289336
218	0.4064693945
219	0.4057060248
220	0.40516076062221	0.4046949738
222	0.4037641038
223	0.4030460318
224	0.4023885971
225	0.4019435734
226	0.4013582209
227	0.4005625763
228	0.4001650553
229	0.3998691163
230	0.399189301
231	0.3987951136
232	0.3983378807
233	0.3977875993
234	0.3972744669
235	0.3967273804
236	0.3959061414
237	0.3951164321
238	0.3947070505
239	0.393998545
240	0.3934795258
241	0.3930403306
242	0.3927024378
243	0.3922481118
244	0.3919207701
245	0.391354424
2246	0.4025866594247	0.3902336922
248	0.3897571728
249	0.3893513871
250	0.3888480142
251	0.3882295437
252	0.3876733101
253	0.3871888123
254	0.3868304142
255	0.3864407654
256	0.3858820347
257	0.385404295
258	0.3848715013
259	0.384341924
260	0.3837328688
261	0.383296499
262	0.3827386454
263	0.3822791677
264	0.3816078173
265	0.3811026495
266	0.3807487099
267	0.380222088
268	0.3797777997
269	0.3794379564
270	0.379072501
271	0.3785873354
272	0.3782280192
273	0.3777180355
274	0.3773484065
275	0.3768451202
276	0.3761977139
277	0.3756078458
278	0.3750429192
279	0.3744309936
280	0.3739585819
281	0.373493961
282	0.3728698159
283	0.3722775325
284	0.3717646104
285	0.3713749564
286	0.3710047579
287	0.3705653532
288	0.3701967755
289	0.3696807195
290	0.3692595555
291	0.3688450036
292	0.3683133996
293	0.3677981941
294	0.3674193792
295	0.3671355985
296	0.3664464692
297	0.3659044715
298	0.3653472716
299	0.3646317807
30300	0.37490234630301	0.37440224030302	0.373933544
303	0.3735876057
304	0.3732176102
305	0.3728547015
306	0.3724054427
307	0.3719252141
308	0.3714187465
309	0.3708762146
310	0.3705569762
311	0.3701322139
312	0.36964790313313	0.36924509314314	0.36894231315315	0.36848403316316	0.3679103099
317	0.36746940318318	0.36696996319319	0.3665032383
320	0.3662250128
321	0.3657939676
322	0.3652518711
323	0.3649440017
324	0.3645436496
325	0.3641107051
326	0.3638729749
327	0.3635534149
328	0.3629414326
329	0.3625611793
330	0.3622959293
331	0.3620542731
332	0.3615538333	333	0.361194334	0334	0.360972335	0335	0.3606487123
336	0.3602522468
337	0.3598447103
338	0.3594514519
339	0.3591799547
340	0.358541341	0341	0.358038342	0342	0.35752343	0.343	0.35710344	0.344	0.35672345	0345	0.356635346	0346	0.355959347	0347	0.355357348	0348	0.35492349	0.349	0.35449350	0.350	0.3542351	0.3351	0.3537352	0.3352	0.3534317851
353	0.3531056667
354	0.3527851093
355	0.3524954819
356	0.3521239904
357	0.3517774631
358	0.3511802971
359	0.3506118355
360	0.3502993034
361	0.34362	0.338362	0.34363	0.337363	0.34364	0.33364	0.3483574515
365	0.34366	0.336366	0.34367	0.33367	0.347368	0.3351696956
369	0.334852355
370	0.3344440247
371	0.3341055838
372	0.3334687332
373	0.3330906765
374	0.3328509036
375	0.3325477425
376	0.3319407138
377	0.3315662405
378	0.3313089262
379	0.330769443
380	0.3304098
381	0.3300537659
382	0.3299061345
383	0.3295062124
384	0.3292670598
385	0.3289453151
386	0.3284572396
387	0.3281316504
388	0.3277493469
389	0.3275013646
390	0.3271965829
391	0.3267436818
392	0.3265092453
393	0.3260842791
394	0.3257331146
395	0.3254452486
396	0.3250259458
397	0.3245459859
398	0.3242371395
399	0.3240399	0.3400	0.3235400	0.3339286869
401	0.3335368608
402	0.3331750671
403	0.3328902313
404	0.3324499039
405	0.3320864641
406	0.3318022022
407	0.408	0.32084408	0.409	0.32031409	0.3306571985
410	0.3301225388
411	0.3295073025
412	0.3292810324
413	0414	0.318677414	0415	0.318400415	0416	0.318126416	0417	0.317868417	0.3273203383
418	0.3269879113
419	0.3264754203
420	0.3259877171
421	0.3256955336
422	0.3252767374
423	0.3249470486
424	0.3243084473
425	0.3241908882
426	0.3238677854
427	0.3234370398
428	0.3229348031
429	0.3227482209
430	0.3222528304
431	0.3218635297
432	0.3215618851
433	0.321286125
434	0.3210818608
435	0.3207019304
436	0.3201488409
437	0.3197058963
438	0.3193024222
439	0.3190389521
440	0.3186702196
441	0.318407662
442	0.3180551352
443	0.3177197082
444	0.3175621521
445	0.3172380164
446	0.3169756012
447	0.3166932072
448	0.3164126935
449	0.316064113
450	0.3158374495
451	0.3153552488
452	0.3151968551
453	0.3149468596
454	0.31464951
455	0.3143109252
456	0.3136691328
457	0.3134781974
458	0.3130948494
459	0.3128236261
460	0.3125437345
461	0.3122238926
462	0.3119191102
463	0.3115861791
464	0.3112638934
465	0.3109172446
466	0.3104965098
467	0.3101955623
468	0.3100233169
469	0.3097066927
470	0.3093981532
471	0.3092617761
472	0.3089667067
473	0.3086991621
474	0.3084001624
475	0.3082118021
476	0.3078273559
477	0.3075112372
478	0.307351708
479	0.3070513067
480	0.3066962474
481	0.306449223
482	0.3061179941
483	0.305768304
484	0.3053346525
485	0.3050660309
486	0.304701464
487	0.3043873986
488	0.3040083228
489	0.303606316
490	0.3032633864
491	0.3027807499
492	0.3024514622
493	0.3021385906
494	0.3019377703
495	0.3016546142
496	0.3013052504
497	0.3010367377
498	0.3007326003
499	0.3004749268
500	0.3003172436
501	0.3000473073
502	0.2996333392
503	0.299188711
504	0.2988320536
505	0.298398905
506	0.2981603497
507	0.2977048717
508	0.2975072515
509	0.2972666152
510	0.2968640843
511	0.2964863885
512	0.296146892
513	0.296063089
514	0.2957803859
515	0.2954614335
516	0.2952290294
517	0.2949076364
518	0.2945813281
519	0.2943535414
520	0.2939919573
521	0.2938140485
522	0.2934824333
523	0.2932279834
524	0.2928906915
525	0.2925109472
526	0.29214112
527	0.2918704052
528	0.2914599841
529	0.2912636539
530	0.2909637934
531	0.2904694824
532	0.2901616678
533	0.2898772357
534	0.2897420542
535	0.2895016593
536	0.2892469338
537	0.2890559988
538	0.288735494
539	0.2883378845
540	0.2879749379
541	0.2877674805
542	0.2873648284
543	0.2869399194
544	0.2866033532
545	0.2863464153
546	0.286020388
547	0.2856565445
548	0.2854021647
549	0.2851388378
550	0.2848360996
551	0.284414316
552	0.284178343
553	0.2839582696
554	0.2837130649
555	0.2835687292
556	0.2833545887
557	0.2829974305
558	0.2827735093
559	0.2825027695
560	0.2822862201
561	0.2820517595
562	0.2817037854
563	0.2813934668
564	0.281087297
565	0.2808375298
566	0.2805980307
567	0.2803588412
568	0.2801121285
569	0.2799545478
570	0.2796332314
571	0.2792940376
572	0.2789306476
573	0.2786902113
574	0.2784387326
575	0.278214478
576	0.2779897315
577	0.2777583021
578	0.2774285423
579	0.2770738357
580	0.2768804477
581	0.2762877711
582	0.2759363256
583	0.2756374671
584	0.2754113403
585	0.2750829111
586	0.2747544976
587	0.2742193079
588	0.2738650245
589	0.2735613393
590	0.2732178716
591	0.2728908513
592	0.2726474572
593	0.2722479327
594	0.2719848128
595	0.2716669017
596	0.2713582185
597	0.2710253029
598	0.2707116719
599	0.2705079719
600	0.27026324
601	0.2699020914
602	0.2696149523
603	0.2693791109
604	0.2689910331
605	0.268725274
606	0.2681748073
607	0.267820345
608	0.2674889049
609	0.2672298144
610	0.2668946505
611	0.2666539864
612	0.2664973696
613	0.2662344376
614	0.2659412843
615	0.2655062758
616	0.2652967128
617	0.2651461765
618	0.2648248915
619	0.264537155
620	0.2643684072
621	0.2641362224
622	0.2639002709
623	0.2636354478
624	0.263405685
625	0.2631886499
626	0.2627814539
627	0.2626248026
628	0.2623088606
629	0.2620526462
630	0.2617105901
631	0.2613168838
632	0.2611277071
633	0.2607480946
634	0.2604758299
635	0.260233485
636	0.2599683162
637	0.2595499593
638	0.2591653084
639	0.2588548122
640	0.2585983372
641	0.2584367656
642	0.2581920295
643	0.2578162743
644	0.2576338235
645	0.2573915607
646	0.2570768613
647	0.256785459
648	0.2566096387
649	0.2564481423
650	0.2561552303
651	0.2558536131
652	0.2556189692
653	0.2554235858
654	0.2550880857
655	0.2549090715
656	0.2546380711
657	0.2542139909
658	0.25397745
659	0.2536090239
660	0.2534085229
661	0.2531037395
662	0.2529193353
663	0.2526820222
664	0.2523578517
665	0.2521414078
666	0.2519054052
667	0.2516640357
668	0.2515158706
669	0.2512802506
670	0.2510482672
671	0.2506519471
672	0.2503686277
673	0.2500291563
674	0.2497590339
675	0.2496364387
676	0.2493729141
677	0.2492506818
678	0.2489727914
679	0.2487177028
680	0.2484038588
681	0.2482106159
682	0.2479777493
683	0.2476630687
684	0.2472788702
685	0.2470488642
686	0.246811892
687	0.2466342905
688	0.2464733116
689	0.2459486305
690	0.245758835
691	0.2454492247
692	0.2452381802
693	0.2451146624
694	0.2449010092
695	0.2446374845
696	0.2443880159
697	0.2442931158
698	0.2440536776
699	0.2437193002
700	0.2435409808
701	0.2433980726
702	0.2431296032
703	0.2428843303
704	0.242639041
705	0.2424749737
706	0.2422709264
707	0.2420427055
708	0.2417699252
709	0.241513181
710	0.2411442182
711	0.2408933516
712	0.2408093562
713	0.2405206333
714	0.2402653686
715	0.2400710623
716	0.2398306891
717	0.239624798
718	0.2392622896
719	0.2389755822
720	0.2386130526
721	0.2383091544
722	0.2380740157
723	0.2376463102
724	0.2373929985
725	0.2371490744
726	0.2369630719
727	0.2367242104
728	0.2363905856
729	0.236089515
730	0.2358622757
731	0.2355984952
732	0.2354759665
733	0.2352309468
734	0.2350113737
735	0.2347048992
736	0.2343893233
737	0.2340724734
738	0.2338544261
739	0.2334924582
740	0.2331556699
741	0.2328538038
742	0.2326451653
743	0.2324281195
744	0.2322480066
745	0.2319077701
746	0.2315266163
747	0.2313080259
748	0.2311605529
749	0.2309707146
750	0.2308077358
751	0.2305257449
752	0.2302273892
753	0.229865008
754	0.2297627235
755	0.2295019353
756	0.2293123464
757	0.2291183316
758	0.2287877672
759	0.2284733438
760	0.2282081785
761	0.2277987851
762	0.2275343432
763	0.2272515601
764	0.2270377303
765	0.2267356002
766	0.2265089794
767	0.2263646314
768	0.2260898118
769	0.2257882885
770	0.2256377063
771	0.2253810518
772	0.2251569325
773	0.2249785301
774	0.2247607858
775	0.2245865866
776	0.2242734711
777	0.2240265791
778	0.2238316458
779	0.2236716171
780	0.2233282548
781	0.2230111774
78782	0.22031856478783	0.22009375378784	0.219898260785	0.2220201983
78786	0.21943907578787	0.2192499777788	0.2190443393
789	0.2188978262
790	0.2187439224
791	0.218504498
792	0.2182797563
793	0.2180454693
794	0.2178620393
795	0.2173945344
796	0.2172139697
797	0.2170176889
798	0.2167246353
799	0.2164632603
800	0.216080372
801	0.2157300053
802	0.2153381328
803	0.2151640703
804	0.2149061477
805	0.2147453618
806	0.2145087435
807	0.2142890003
808	0.2140548273
809	0.2137744226
810	0.2135571787
811	0.2133464761
812	0.2131070208
813	0.2127750615
814	0.2126710293
815	0.212478294
816	0.2121479332
817	0.2120128418
818	0.2117570318
819	0.2115343077
820	0.2113458501
821	0.2112470118
822	0.2109596285
823	0.2107990326
824	0.2105813572
825	0.2104433575
826	0.2101319194
827	0.2099635062
828	0.2097654158
829	0.2093057298
830	0.2091141721
831	0.2088751194
832	0.2086480554
833	0.2084012525
834	0.2081039618
835	0.2078304034
836	0.2075662936
837	0.2072898534
838	0.2070950303
839	0.2068658409
840	0.206734088
841	0.2065857292
842	0.2064468288
843	0.2061791855
844	0.2058110288
845	0.2055894534
846	0.2053656149
847	0.205133482
848	0.2049610579
849	0.2046458372
850	0.204402325
851	0.2041222898
852	0.2037420582
853	0.2035868366
854	0.2032094147
855	0.2030116271
856	0.2026406309
857	0.2024364054
858	0.2021850352
859	0.2020305898
860	0.2016965432
861	0.2015046184
862	0.2013869317
863	0.2011689328
864	0.2009918189
865	0.2007752324
866	0.2005640642
867	0.2001460991
868	0.1997936498
869	0.1995748212
870	0.1993882034
871	0.1991430202
872	0.1989241484
873	0.1986905133
874	0.1984773076
875	0.198209401
876	0.1979275655
877	0.1976699066
878	0.1974025995
879	0.1972381738
880	0.1970231387
881	0.1968011498
882	0.1965934445
883	0.1963625343
884	0.196161299
885	0.1959588727
886	0.1957635884
887	0.1955779034
888	0.1953756197
889	0.1952267053
890	0.1949615974
891	0.194735653
892	0.1945699945
893	0.1943850128
894	0.194234044
895	0.1940573492
896	0.1938667676
897	0.1936906778
898	0.193459509
899	0.1933160823
900	0.19301087
901	0.1928364308
902	0.1926314173
903	0.1924814814
904	0.1922568912
905	0.1920622511
906	0.1918454726
907	0.1916807461
908	0.1914969605
909	0.1913406015
910	0.1911753503
911	0.1909764167
912	0.1905286214
913	0.1903238028
914	0.1901374625
915	0.1900070894
916	0.1897573919
917	0.1895121496
918	0.1893248203
919	0.1890806326
920	0.1889570681
921	0.1887313599
922	0.1884693592
923	0.1882804516
924	0.1881666818
925	0.1879878559
926	0.1878206785
927	0.1875634231
928	0.1872588767
929	0.1871207045
930	0.1867881869
931	0.1865062028
932	0.1862939831
933	0.1859964219
934	0.18584705
935	0.1856576458
936	0.1855049666
937	0.1852546344
938	0.1850832563
939	0.1849379603
940	0.1847329242
941	0.184549579
942	0.1843738398
943	0.1841568641
944	0.1839637868
945	0.1839108989
946	0.183680394
947	0.1834653072
948	0.183256513
949	0.1830746119
950	0.1828967429
951	0.1827097477
952	0.1825519135
953	0.1824099851
954	0.1822237205
955	0.1820040306
956	0.1817693825
957	0.1815396373
958	0.1813560418
959	0.1811682739
960	0.1810209666
961	0.1808552234
962	0.1807125272
963	0.1805845113
964	0.1804459927
965	0.1800858284
966	0.1799331507
967	0.1797636992
968	0.1794253254
969	0.1792393746
970	0.1790270989
971	0.1788949501
972	0.1786599442
973	0.1784879846
974	0.1782929102
975	0.1781031368
976	0.177906184
977	0.177720466
978	0.1775584625
979	0.1773804361
980	0.1772239076
981	0.1771732342
982	0.1770406785
983	0.1768851475
984	0.1765704782
985	0.1763340207
986	0.1760735774
987	0.1759471381
988	0.1757712241
989	0.1756658735
990	0.1755504637
991	0.1753554741
992	0.1752886778
993	0.1750996726
994	0.1749335447
995	0.1746956085
996	0.1744124556
997	0.1742575302
998	0.1741273296
999	0.1739530626
